Intersul (A)
322 sV322 Ribeira - Castelo (via Cidade Universitária) |
322 327 Ribeira - Castelo (via Linha Vermelha) | C BRS4
324 324 Ribeira - Castelo | C BRS4
324 sVa324 Ribeira - Castelo (via AIRJ) |
324 sVB324 Ribeira - Castelo (via Cidade Universitária) |
324 325 Ribeira - Castelo (via Linha Vermelha) | C BRS4
324 sP326 Portuguesa - Castelo |
326 326 Bancários - Castelo | C BRS4
326 sVa326 Bancários - Castelo (via AIRJ) |
326 sVB326 Bancários - Castelo (via Cidade Universitária) |
326 329 Bancários - Castelo (via Praia da Rosa) | C BRS4
328 328 Bananal - Castelo | C BRS4
328 sV328 Bananal - Castelo (via Cidade Universitária) |
330 330 Praça XV - Parque União | C BRS4
334 334 Cordovil - Praça Tiradentes (via Praça das Nações) | C BRS4
335 335 Cordovil - Tiradentes | r C BRS4
335 sr335 Cordovil - Praça Tiradentes (via Brás de Pina) | r C
335 sV335 Brás de Pina - Praça Tiradentes | r
342 342 Castelo - Jardim América | BRS4
342 sPa342 Praça Catolé do Rocha - Castelo |
342 sPB342 Vigário Geral (Praça Catolé do Rocha) - Castelo |
342 sPC342 Vigário Geral (Rua Maba) - Castelo |
342 sr342 Castelo - Jardim América | r
344 344 Rocha Miranda - Praça XV | C BRS4
345 307 Vila Kosmos - Praça da República (via Lucas) | C
349 349 Rocha Miranda - Praça XV | C BRS4
349 sPa349 Parque Jardim Vista Alegre - Praça XV |
349 sPB349 Praça Honório Gurgel - Praça XV |
349 sr349 Rocha Miranda - Praça XV | r C
350 350 Irajá - Passeio (via Praça das Nações) | C BRS4
350 sP350 Irajá - Passeio | r
350 sr350 Irajá - Passeio | r
351 351 Vaz Lobo - Passeio | C BRS4
355 355 Praça Tiradentes - Madureira |
355 sPa355 Vaz Lobo - Praça Tiradentes |
355 sPB355 Vicente de Carvalho - Praça Tiradentes |
355 sPC355 Vila Kosmos - Praça Tiradentes |
355 sr355 Praça Tiradentes - Madureira | r
362 362 Praça XV - Honório Gurgel | BRS4
362 sPa362 Bairro União - Praça XV |
362 sPB362 Coelho Neto - Praça XV |
362 sPC362 Vila Santa Tereza - Praça XV |
362 sr362 Praça XV - Honório Gurgel | r
372 372 Pavuna - Passeio | r BRS4
373 373 Pavuna - Passeio | C BRS4
374 374 Pavuna - Praça XV (via Costa Barros) | C BRS4
375 375 Ricardo de Albuquerque - Carioca | BRS4
376 376 Pavuna - Praça XV (via Rua Mercúrio) | C BRS4
376 sV376 Pavuna - Praça XV (via Parque Columbia) |
377 377 Pavuna - Praça XV (via Costa Barros) | r C BRS4
378 378 Marechal Hermes - Castelo | BRS4
378 sP378 Guadalupe - Castelo |
378 sr378 Marechal Hermes - Castelo | r
384 384 Castelo - Pavuna | BRS4
384 sPa384 Guadalupe - Castelo |
384 sPB384 Largo do Camboatá - Castelo |
384 399 Castelo - Pavuna (via Avenida Presidente Vargas e Rua Alcobaça) |
385 385 Castelo - Village Pavuna (via Camboatá) | BRS4
385 sr385 Castelo - Village Pavuna | r
385 sV385 Castelo - Pavuna (via Avenida Presidente Vargas) | BRS4
386 381 Anchieta - Cidade Universitária | C
386 386 Anchieta - Carioca (via Mariópolis) | BRS4
386 sP386 Parque Anchieta - Carioca |
455 455 Méier - Copacabana (via Parque do Flamengo) | BRS3
455 SP455 Engenho Novo - Copacabana (via Parque do Flamengo) | BRS3
456 456 Norte Shopping - General Osório (via Túnel Santa Bárbara) | BRS3
457 457 Abolição - General Osório (via Túnel Santa Bárbara) | BRS3
484 403 Bonsucesso - Copacabana | C BRS3
484 483 Penha - Copacabana | C BRS3
484 484 Olaria - Copacabana (via Parque do Flamengo) | C BRS3
484 sPa484 Bonsucesso - Copacabana | C BRS3
484 sPB484 Parque Oswaldo Cruz - Copacabana | C BRS3
485 404 Cordovil - Leblon (via Avenida Brasil) | C BRS3
485 485 Penha - General Osório (via Túnel Santa Bárbara) | BRS3
485 486 General Osório - Fundão | C BRS3
497 405 Ramos - Cosme Velho |
497 497 Penha - Cosme Velho | BRS3
498 498 Circular da Penha - Cosme Velho | BRS3
498 sP498 Penha (Iapi) - Cosme Velho |
498 sV498 Circular da Penha - Cosme Velho (via Conj. Marcílio Dias) |
606 606 Rodoviária - Engenho de Dentro |
606 sV606 Rodoviária - Engenho de Dentro (via Boca do Mato) |
621 621 Penha - Saens Peña (via Mangueira) | C
622 622 Penha - Saens Peña (via Grajaú) | C
623 623 Penha - Saens Peña (via Túnel Noel Rosa) | C
623 sP623 Penha - Del Castilho (shopping Nova América) | C
624 624 Mariópolis - Praça da Bandeira |
625 625 Olaria - Saens Peña | C
627 627 Saens Peña - Inhaúma |
629 629 Saens Peña - Irajá |
630 630 Saens Peña - Penha (Iapi) (via Benfica) |
634 634 Saens Peña - Bananal |
634 635 Saens Peña - Bananal (via Linha Vermelha e Cid. Universitária) |
634 913 Del Castilho - Fundão (via Cidade Universitária) |
638 609 São Francisco Xavier - Méier |
638 638 Saens Peña - Marechal Hermes | C
639 639 Saens Peña - Jardim América (via Rocha Miranda) |
650 650 Marechal Hermes - Engenho Novo | C
653 653 Marechal Hermes - Méier | C
661 661 Méier - Maria da Graca (via Alv. Cabral e Norte Shopping) | C
662 662 Méier - Maria da Graca (via Del Castilho) | C
663 663 Méier - Fundão | C
665 665 Pavuna - Saens Peña (via Pastor Martin Luther King Jr.) |
665 sVa665 Pavuna - Saens Peña |
665 sVB665 Pavuna - Saens Peña (via Barros Filho/Costa Barros) |
669 669 Pavuna - Cachambi | C
669 sV669 Pavuna - Cachambi (via Camboatá) | C
673 673 Lucas - Méier (via Del Castilho) | C
676 676 Penha - Méier (via Cascadura) | C
679 679 Grotão - Méier | C
680 680 Penha (Iapi) - Méier | C
685 685 Irajá - Méier |
685 sVa685 Irajá - Méier (via Embaú) |
687 615 Pavuna - Del Castilho (via Norte Shopping) | C
687 687 Pavuna - Méier |
687 sP687 Pavuna - Inhaúma |
688 688 Méier - Pavuna (via Rua José dos Reis) |
696 616 Del Castilho - Fundão (via Cidade Universitária) |
696 696 Méier - Praia do Dendê |
696 sVa696 Dendê - Méier (via AIRJ) |
696 sVB696 Méier - Praia do Dendê (via Cidade Universitária) |
711 711 Rio Comprido - Rocha Miranda |
725 725 Ricardo de Albuquerque - Cascadura | C
727 727 Pavuna - Javatá |
773 773 Pavuna - Cascadura (via Camboatá) | C
778 778 Pavuna - Cascadura (via Estrada de Botafogo) | C
779 779 Pavuna - Madureira (via Rua João Vicente) |
779 sV779 Pavuna - Madureira (via Rua Marina) |
793 793 Pavuna - Magalhães Bastos |
795 795 Pavuna - Magalhães Bastos (via Mariópolis) |
896 946 Pavuna - Engenho da Rainha (via Avenida Dom Hélder Câmara) |
901 901 Bonsucesso - Bananal (via Jardim Guanabara) |
901 sV901 Bonsucesso - Bananal (via Cacuia) |
905 905 Bonsucesso - Irajá |
905 sVa905 Bonsucesso - Irajá (via Amarelinho) |
905 sVB905 Irajá - Hospital das Clínicas (via Cidade Universitária) | C
906 906 Caju - Jardim América |
906 sP906 Jardim América - Praça das Nações | C
908 908 Bonsucesso - Guadalupe (via Metrô Inhaúma) |
908 sV908 Bonsucesso - Guadalupe |
910 910 Bananal - Madureira | C
910 sP910 Bananal - Largo do Bicão |
911 911 Bonsucesso - Cidade Universitária | C
914 914 Vigário Geral - Bananal |
915 915 Bonsucesso - AIRJ | C
917 917 Realengo - Bonsucesso |
